Cities,Birmingham,Boston,Buffalo,Chicago,Cleveland,Dallas,Denver,Detroit,El Paso,Houston,Indianapolis,Kansas City,Los Angeles,Louisville,Memphis,Miami,Minneapolis,New Orleans,New York,Omaha,Philadelphia,Phoenix,Pittsburgh,St. Louis,Salt Lake City,San Francisco,Seattle,Washington DC
Birmingham,0,"1,194",947,657,734,653,"1,318",754,"1,278",692,492,703,"2,078",378,249,777,"1,067",347,983,907,894,"1,680",792,508,"1,805","2,385","2,612",751
Boston,"1,194",0,457,983,639,"1,815","1,991",702,"2,358","1,886",940,"1,427","3,036",996,"1,345","1,539","1,402","1,541",213,"1,458",304,"2,664",597,"1,179","2,425","3,179","3,043",440
Buffalo,947,457,0,536,192,"1,387","1,561",252,"1,928","1,532",510,997,"2,606",571,965,"1,445",955,"1,294",436,"1,011",383,"2,234",219,749,"1,978","2,732","2,596",386
Chicago,657,983,536,0,344,931,"1,050",279,"1,439","1,092",189,503,"2,112",305,546,"1,390",411,947,840,493,758,"1,729",457,293,"1,458","2,212","2,052",695
Cleveland,734,639,192,344,0,"1,205","1,369",175,"1,746","1,358",318,815,"2,424",379,773,"1,325",763,"1,102",514,819,432,"2,052",131,567,"1,786","2,540","2,404",369
Dallas,653,"1,815","1,387",931,"1,205",0,801,"1,167",625,242,877,508,"1,425",865,470,"1,332",969,504,"1,604",661,"1,515","1,027","1,237",638,"1,239","1,765","2,122","1,372"
Denver,"1,318","1,991","1,561","1,050","1,369",801,0,"1,310",652,"1,032","1,051",616,"1,174","1,135","1,069","2,094",867,"1,305","1,780",559,"1,698",836,"1,411",871,512,"1,266","1,373","1,635"
Detroit,754,702,252,279,175,"1,167","1,301",0,"1,696","1,312",290,760,"2,369",378,756,"1,409",698,"1,101",671,754,589,"1,986",288,529,"1,721","2,475","2,339",526
El Paso,"1,278","2,358","1,928","1,439","1,746",625,652,"1,696",0,756,"1,418",936,800,"1,443","1,095","1,957","1,353","1,121","2,147","1,015","2,065",402,"1,778","1,179",877,"1,202","1,760","1,997"
Houston,692,"1,886","1,532","1,092","1,358",242,"1,032","1,312",756,0,"1,022",750,"1,556",981,586,"1,237","1,211",365,"1,675",903,"1,586","1,158","1,395",799,"1,465","1,958","2,348","1,443"
Indianapolis,492,940,510,189,318,877,"1,051",290,"1,418","1,022",0,487,"2,096",114,466,"1,225",600,839,729,590,647,"1,713",360,239,"1,545","2,299","2,241",565
Kansas City,703,"1,427",997,503,815,508,616,760,936,750,487,0,"1,609",519,454,"1,479",466,839,"1,216",204,"1,134","1,226",847,255,"1,128","1,882","1,909","1,071"
Los Angeles,"2,078","3,036","2,606","2,112","2,424","1,425","1,174","2,369",800,"1,556","2,096","1,609",0,"2,128","1,847","2,757","2,041","1,921","2,825","1,733","2,743",398,"2,456","1,864",728,403,"1,150","2,680"
Louisville,378,996,571,305,379,865,"1,135",378,"1,443",981,114,519,"2,128",0,396,"1,111",716,725,785,704,703,"1,749",416,264,"1,647","2,401","2,355",601
Memphis,249,"1,345",965,546,773,470,"1,069",756,"1,095",586,466,454,"1,847",396,0,"1,025",854,401,"1,134",658,"1,045","1,464",810,295,"1,556","2,151","2,363",902
Miami,777,"1,539","1,445","1,390","1,325","1,332","2,094","1,409","1,957","1,237","1,225","1,479","2,757","1,111","1,025",0,"1,801",892,"1,328","1,683","1,239","2,359","1,250","1,241","2,571","3,097","3,389","1,101"
Minneapolis,"1,067","1,402",955,411,763,969,867,698,"1,353","1,211",600,466,"2,041",716,854,"1,801",0,"1,255","1,259",373,"1,177","1,644",876,559,"1,243","1,997","1,641","1,114"
New Orleans,347,"1,541","1,294",947,"1,102",504,"1,305","1,101","1,121",365,839,839,"1,921",725,401,892,"1,255",0,"1,330","1,043","1,241","1,523","1,118",696,"1,743","2,269","2,626","1,098"
